,News Account,Screen Name,News Text,News Created Date,News id,News Account id,Retweet Count,Like Count,Followers Count,News Compound,News Positive,News Neutral,News Negative,News Tweets Ago,News Created Date Simplified
0,@CBSNews,CBSNews,"Public documents show an alarming number of aborted takeoffs, cabin pressure loss, emergency descents, and unscheduled landings for Allegiant Air. Yet for the most part, Allegiant's difficulties have managed to stay under the radar of the flying public: ",Mon Apr 16 00:21:01 +0000 2018,985674387557961729,15012486,34,29,6516782,-0.83,0.027999999999999997,0.733,0.239,1,Apr 16
1,@CBSNews,CBSNews,"Country music's biggest stars are returning to Las Vegas for the 2018 #ACMawards, 6 months after a gunman killed 58 people at the Route 91 Harvest Festival: ",Mon Apr 16 00:10:01 +0000 2018,985671617824030720,15012486,27,70,6516782,-0.3182,0.098,0.765,0.138,2,Apr 16
2,@CBSNews,CBSNews,"A dog named ""Rescue"" helped a couple recover from the Boston Marathon bombing. Now they've written a book about him: ",Mon Apr 16 00:01:01 +0000 2018,985669352463765505,15012486,30,142,6516782,0.0,0.0,1.0,0.0,3,Apr 16
3,@CBSNews,CBSNews,"Syrian President Bashar Assad appeared on state TV on Sunday as confident as ever, holding meetings with Russian lawmakers: ",Sun Apr 15 23:41:01 +0000 2018,985664319739310080,15012486,60,41,6516782,0.4939,0.138,0.862,0.0,4,Apr 15
4,@CBSNews,CBSNews,Here's how you can watch the #ACMawards as country music superstar Reba McEntire hosts the annual awards: ,Sun Apr 15 23:21:26 +0000 2018,985659394473058304,15012486,30,67,6516782,0.4588,0.14300000000000002,0.857,0.0,5,Apr 15
5,@CBSNews,CBSNews,"RT @CBSEveningNews: ""I call him my best medicine.""

Today marks 5 years since the Boston Marathon bombings. @DonDahlerCBS introduces us to…",Sun Apr 15 23:15:48 +0000 2018,985657975003021312,15012486,28,0,6516782,0.6369,0.18100000000000002,0.8190000000000001,0.0,6,Apr 15
6,@CBSNews,CBSNews,"Danish tourist mugged at knifepoint for ""Make America Great Again"" hat in New York City ",Sun Apr 15 22:57:01 +0000 2018,985653246831349760,15012486,20,63,6516782,0.6249,0.204,0.7959999999999999,0.0,7,Apr 15
7,@CBSNews,CBSNews,"A powerful United Launch Alliance Atlas 5 rocket launched on Saturday, boosting a multi-satellite military payload into space ",Sun Apr 15 22:35:01 +0000 2018,985647711335706624,15012486,35,57,6516782,0.8176,0.42200000000000004,0.578,0.0,8,Apr 15
8,@CBSNews,CBSNews,200 million eggs recalled over salmonella concerns ,Sun Apr 15 22:16:01 +0000 2018,985642927933227008,15012486,80,45,6516782,0.0,0.0,1.0,0.0,9,Apr 15
9,@CBSNews,CBSNews,"Five years after the deadly Boston Marathon bombings, the city marks the anniversary with solemn remembrances and charitable acts. ",Sun Apr 15 21:55:43 +0000 2018,985637819157590016,15012486,148,405,6516782,0.34,0.11699999999999999,0.826,0.057,10,Apr 15
