,News Account,Screen Name,News Text,News Created Date,News id,News Account id,Retweet Count,Like Count,Followers Count,News Compound,News Positive,News Neutral,News Negative,News Tweets Ago,News Created Date Simplified
0,@CNN,CNN,"People in Boston came together on Sunday to run a course that spelled out the city's name, five years after deadly bomb blasts went off during the Boston Marathon. ",Mon Apr 16 00:18:05 +0000 2018,985673650232840192,759251,89,385,40152913,-0.4939,0.0,0.897,0.10300000000000001,1,Apr 16
1,@CNN,CNN,Here's how to build a bamboo theater in Hong Kong: ,Mon Apr 16 00:07:14 +0000 2018,985670920302989312,759251,39,119,40152913,0.0,0.0,1.0,0.0,2,Apr 16
2,@CNN,CNN,New York gubernatorial candidate Cynthia Nixon gets big progressive endorsement as state Democrats face rupture ,Mon Apr 16 00:00:13 +0000 2018,985669153121013761,759251,46,176,40152913,0.3182,0.126,0.8740000000000001,0.0,3,Apr 16
3,@CNN,CNN,RT @cnni: A starry night is captured over Salar de Uyuni -- the world’s largest salt flat. Many choose 4x4s to make adventurous journeys th…,Sun Apr 15 23:48:27 +0000 2018,985666192244436992,759251,70,0,40152913,0.34,0.094,0.9059999999999999,0.0,4,Apr 15
4,@CNN,CNN,"French President Emmanuel Macron says he ""convinced"" President Trump to stay in Syria ahead of strikes ",Sun Apr 15 23:30:04 +0000 2018,985661564123516930,759251,57,117,40152913,-0.3612,0.0,0.872,0.128,5,Apr 15
5,@CNN,CNN,"""Ten days ago, President Trump said the USA's will is to disengage from Syria. We convinced him that it was necessary to stay."" 

French President Macron said he ""convinced"" Trump to stay in Syria before the US, UK and France launched strikes on Friday ",Sun Apr 15 23:24:06 +0000 2018,985660063128932356,759251,129,268,40152913,0.1779,0.085,0.865,0.05,6,Apr 15
6,@CNN,CNN,Democrats running this year cautiously back President Trump's decision to strike Syria ,Sun Apr 15 23:00:02 +0000 2018,985654007128580096,759251,30,102,40152913,-0.128,0.0,0.897,0.10300000000000001,7,Apr 15
7,@CNN,CNN,Police find animal waste in counterfeit makeup — so it's not such a bargain after all ,Sun Apr 15 22:45:05 +0000 2018,985650246620413953,759251,135,212,40152913,-0.5255,0.0,0.7609999999999999,0.239,8,Apr 15
8,@CNN,CNN,"To commemorate the 5th anniversary of the Boston Marathon terrorist attack, a group of runners used GPS tracking on a 4.5-mile course across the city to spell out ""Boston."" This image is from Michael Wardian's running app, Strava. ",Sun Apr 15 22:30:03 +0000 2018,985646462259335168,759251,261,1229,40152913,-0.8316,0.0,0.8220000000000001,0.17800000000000002,9,Apr 15
9,@CNN,CNN,Two polls show Trump approval below 40% and Democratic excitement for 2018 ,Sun Apr 15 22:15:09 +0000 2018,985642711821758464,759251,334,1308,40152913,0.743,0.344,0.6559999999999999,0.0,10,Apr 15
10,@CNN,CNN,President Trump unloads Twitter fusillade as former FBI Director James Comey's TV interview nears ,Sun Apr 15 22:00:04 +0000 2018,985638916228304899,759251,70,206,40152913,0.0,0.0,1.0,0.0,11,Apr 15
11,@CNN,CNN,"It's OK to criticize the #MeToo movement, Peggy Drexler writes for @CNNOpinion ",Sun Apr 15 21:45:09 +0000 2018,985635161336434688,759251,35,95,40152913,0.0857,0.16699999999999998,0.684,0.14800000000000002,12,Apr 15
12,@CNN,CNN,There was poisonous gas below ground and bombs above. Survivors of the harrowing chemical attack in Syria tell their stories for the first time. ,Sun Apr 15 21:30:06 +0000 2018,985631373926060032,759251,235,360,40152913,-0.7783,0.0,0.779,0.221,13,Apr 15
13,@CNN,CNN,Sen. Tim Kaine to oppose former CIA Director Mike Pompeo for secretary of state ,Sun Apr 15 21:15:06 +0000 2018,985627598456868871,759251,188,927,40152913,0.0,0.0,1.0,0.0,14,Apr 15
14,@CNN,CNN,"Starbucks CEO calls arrest of two black men at Philadelphia store ""reprehensible"" ",Sun Apr 15 21:00:16 +0000 2018,985623867111723008,759251,180,478,40152913,-0.34,0.0,0.8440000000000001,0.156,15,Apr 15
15,@CNN,CNN,"What do the US, UK and French airstrikes mean for Syria's war? ",Sun Apr 15 20:45:09 +0000 2018,985620062773153794,759251,90,145,40152913,-0.5994,0.0,0.8220000000000001,0.17800000000000002,16,Apr 15
16,@CNN,CNN,Prominent gay rights lawyer sets himself on fire in protest suicide ,Sun Apr 15 20:31:04 +0000 2018,985616518821171202,759251,225,362,40152913,-0.765,0.114,0.446,0.441,17,Apr 15
17,@CNN,CNN,Does the Commonwealth Games have a future? ,Sun Apr 15 20:15:06 +0000 2018,985612502053675008,759251,47,161,40152913,0.0,0.0,1.0,0.0,18,Apr 15
18,@CNN,CNN,Boston holds moment of silence at 2:49 p.m. to commemorate marathon bombing ,Sun Apr 15 20:00:14 +0000 2018,985608758838595584,759251,126,657,40152913,0.0,0.0,1.0,0.0,19,Apr 15
19,@CNN,CNN,Former acting Attorney General Sally Yates cautions against firing Deputy Attorney General Rod Rosenstein ,Sun Apr 15 19:45:05 +0000 2018,985604946925117440,759251,157,542,40152913,-0.34,0.0,0.862,0.138,20,Apr 15
20,@CNN,CNN,Caravan of migrants climbs freight train for the next leg of the journey ,Sun Apr 15 19:30:09 +0000 2018,985601188702846977,759251,59,158,40152913,0.0,0.0,1.0,0.0,21,Apr 15
21,@CNN,CNN,United States' Ambassador to the United Nations Nikki Haley says more sanctions against Russia coming Monday ,Sun Apr 15 19:15:03 +0000 2018,985597387975614464,759251,100,251,40152913,0.6808,0.259,0.741,0.0,22,Apr 15
22,@CNN,CNN,"Former US attorney Preet Bharara says it would be ""kind of abusive"" if Trump pardoned Scooter Libby, who was chief of staff to former Vice President Dick Cheney, ""to send a political message to people who may be in a position to testify against you"" ",Sun Apr 15 19:00:55 +0000 2018,985593829356179461,759251,221,597,40152913,-0.7841,0.037000000000000005,0.812,0.151,23,Apr 15
23,@CNN,CNN,Take a look at the week in politics ,Sun Apr 15 18:45:02 +0000 2018,985589833182695425,759251,102,231,40152913,0.0,0.0,1.0,0.0,24,Apr 15
24,@CNN,CNN,"The office of former President George H. W. Bush has released a statement about former first lady Barbara Bush's failing health: ""She is surrounded by a family she adores, and appreciates the many kind messages and especially the prayers she is receiving."" ",Sun Apr 15 18:29:57 +0000 2018,985586039011110912,759251,450,1539,40152913,0.7184,0.184,0.7509999999999999,0.065,25,Apr 15
25,@CNN,CNN,"EXCLUSIVE BREAKING: Former first lady Barbara Bush is in failing health, a source close to the family tells CNN. Bush, who has been suffering for some time, is being cared for at her Houston home and has decided not to go back into the hospital. ",Sun Apr 15 18:19:12 +0000 2018,985583333764722688,759251,1490,3415,40152913,-0.3328,0.094,0.7859999999999999,0.12,26,Apr 15
26,@CNN,CNN,"BREAKING: Former first lady Barbara Bush, 92, is in failing health ",Sun Apr 15 18:07:02 +0000 2018,985580271033638914,759251,483,805,40152913,-0.5106,0.0,0.784,0.21600000000000003,27,Apr 15
27,@CNN,CNN,Fareed Zakaria says he supports President Trump's use of military power in Syria this week but warns that the Trump administration doesn't have a clear Syria strategy ,Sun Apr 15 18:00:01 +0000 2018,985578507450241025,759251,153,346,40152913,-0.3871,0.055999999999999994,0.8029999999999999,0.141,28,Apr 15
28,@CNN,CNN,Marathon runner misses out on gold after collapsing 2 km from finishing line ,Sun Apr 15 17:45:05 +0000 2018,985574748297056257,759251,90,306,40152913,-0.4767,0.0,0.745,0.255,29,Apr 15
29,@CNN,CNN,"""Think like a proton"" and other witty signs from the March for Science ",Sun Apr 15 17:30:06 +0000 2018,985570978095943680,759251,104,442,40152913,0.3612,0.161,0.8390000000000001,0.0,30,Apr 15
30,@CNN,CNN,A charging Daniel Ricciardo claimed a remarkable and unexpected victory in the Chinese Grand Prix Sunday after a tactical masterstroke by his Red Bull team ,Sun Apr 15 17:15:07 +0000 2018,985567206175133696,759251,29,158,40152913,0.765,0.231,0.769,0.0,31,Apr 15
31,@CNN,CNN,New Zealand makes history by beating fierce rivals and host nation Australia to win gold in the first ever women's rugby sevens tournament at the Commonwealth Games ,Sun Apr 15 17:00:09 +0000 2018,985563437559353345,759251,79,363,40152913,0.2023,0.11199999999999999,0.799,0.08900000000000001,32,Apr 15
32,@CNN,CNN,Trillion-dollar budget deficits will make the next recession more painful ,Sun Apr 15 16:45:10 +0000 2018,985559667626700800,759251,215,275,40152913,-0.7178,0.0,0.625,0.375,33,Apr 15
33,@CNN,CNN,"Israeli army destroys ""deepest and longest"" tunnel from Gaza ",Sun Apr 15 16:30:12 +0000 2018,985555900889956352,759251,101,247,40152913,-0.5574,0.0,0.735,0.265,34,Apr 15
34,@CNN,CNN,"James Comey says he's unsure if he believes President Trump's denial that he interacted with prostitutes during a trip to Russia in 2013. The former FBI director joins CNN's @jaketapper for a live interview on Thursday, 4p ET. ",Sun Apr 15 16:15:08 +0000 2018,985552109260206086,759251,157,380,40152913,-0.25,0.0,0.9490000000000001,0.051,35,Apr 15
35,@CNN,CNN,New Zealand regain their crown as kings of Commonwealth rugby sevens ,Sun Apr 15 16:00:24 +0000 2018,985548404326649862,759251,43,151,40152913,0.0,0.0,1.0,0.0,36,Apr 15
36,@CNN,CNN,"President Trump calls attorney-client privilege ""a thing of the past"" ",Sun Apr 15 15:45:06 +0000 2018,985544553905164289,759251,72,164,40152913,0.3612,0.185,0.815,0.0,37,Apr 15
37,@CNN,CNN,"""I'm not here to defend him"" says attorney Alan Dershowitz on his relationship with President Trump. ""I'm here to defend civil liberties and due process"" ",Sun Apr 15 15:37:00 +0000 2018,985542513833328640,759251,163,501,40152913,0.5106,0.113,0.887,0.0,38,Apr 15
38,@CNN,CNN,"Night owls have an increased risk of death, diabetes and psychological problems, according to a new study ",Sun Apr 15 15:30:06 +0000 2018,985540779333570560,759251,323,528,40152913,-0.765,0.085,0.565,0.35100000000000003,39,Apr 15
39,@CNN,CNN,"Drunk, drugged and possibly on the run: The Hart family's final days ",Sun Apr 15 15:15:32 +0000 2018,985537112865951745,759251,68,161,40152913,-0.34,0.0,0.8440000000000001,0.156,40,Apr 15
40,@CNN,CNN,Even one drink a day could be shortening your life expectancy ,Sun Apr 15 15:00:18 +0000 2018,985533279918002176,759251,128,197,40152913,0.0,0.0,1.0,0.0,41,Apr 15
41,@CNN,CNN,"Former Secretary of State Madeleine Albright tells @FareedZakaria that although fascism begins with a slow erosion of liberty, she believes in the resiliency of democracy. ",Sun Apr 15 14:50:22 +0000 2018,985530778342670336,759251,132,449,40152913,0.5267,0.12,0.88,0.0,42,Apr 15
42,@CNN,CNN,Actors Robert De Niro and Ben Stiller made surprise appearances on 'Saturday Night Live' to spoof the FBI raid on Michael Cohen ,Sun Apr 15 14:45:08 +0000 2018,985529461687898113,759251,244,1321,40152913,0.2732,0.084,0.9159999999999999,0.0,43,Apr 15
43,@CNN,CNN,"Trump is a ""president that has undemocratic instincts that trouble me a lot"" warns former Secretary of State Madeleine Albright ",Sun Apr 15 14:35:14 +0000 2018,985526971118620673,759251,698,2167,40152913,-0.4767,0.0,0.8140000000000001,0.18600000000000003,44,Apr 15
44,@CNN,CNN,"When a high school student with autism played his guitar publicly for the first time, his rendition of the ""Star Spangled Banner"" blew the audience away ",Sun Apr 15 14:31:03 +0000 2018,985525919220715526,759251,563,2861,40152913,0.34,0.085,0.915,0.0,45,Apr 15
45,@CNN,CNN,"Trump goes on a twitter tirade Sunday morning, attacking former FBI Director James Comey for his handling of the Clinton email probe. ",Sun Apr 15 14:23:34 +0000 2018,985524032186482689,759251,110,227,40152913,-0.4588,0.0,0.88,0.12,46,Apr 15
46,@CNN,CNN,"""I support President Trump's use of American military power this week,"" says CNN's @FareedZakaria but he warns ""the administration still doesn't have a Syria strategy"" ",Sun Apr 15 14:10:13 +0000 2018,985520672318345216,759251,97,231,40152913,0.0644,0.067,0.8740000000000001,0.057999999999999996,47,Apr 15
47,@CNN,CNN,"President Donald Trump on Sunday defended his use of the term ""mission accomplished"" to describe Friday's missile strike in Syria. ",Sun Apr 15 14:00:09 +0000 2018,985518142125432832,759251,65,133,40152913,0.34,0.11900000000000001,0.82,0.061,48,Apr 15
48,@CNN,CNN,"Preet Bharara: “Every single time the President makes clear that he doesn’t like an investigation of him or his associates and wants his investigation to stop, that adds to the narrative … that that was intentional and is potential obstruction” #CNNSOTU ",Sun Apr 15 13:52:37 +0000 2018,985516243456286722,759251,502,1441,40152913,0.4404,0.113,0.8390000000000001,0.049,49,Apr 15
49,@CNN,CNN,"""I strongly believe that within the next 90 days we're going to see an unsealing of an indictment against Mr. Cohen for a host of very serious offenses,"" says Stormy Daniel's attorney Michael Avenatti #CNNSOTU ",Sun Apr 15 13:41:33 +0000 2018,985513459260502020,759251,248,787,40152913,0.1298,0.055999999999999994,0.902,0.042,50,Apr 15
50,@CNN,CNN,"Stormy Daniels will attend Michael Cohen’s court hearing on Monday at 2 p.m. in New York, her attorney Michael Avenatti tells CNN’s @jaketapper on #CNNSOTU ",Sun Apr 15 13:38:37 +0000 2018,985512721688027136,759251,155,599,40152913,0.0,0.0,1.0,0.0,51,Apr 15
