,News Account,Screen Name,News Text,News Created Date,News id,News Account id,Retweet Count,Like Count,Followers Count,News Compound,News Positive,News Neutral,News Negative,News Tweets Ago,News Created Date Simplified
0,@FoxNews,FoxNews,OPINION: The US attack on Syria is completely legal and utterly moral. Here’s what Trump’s critics need to know ,Mon Apr 16 00:18:29 +0000 2018,985673747976937477,1367531,85,246,17700748,-0.5434,0.07400000000000001,0.706,0.22,1,Apr 16
1,@FoxNews,FoxNews,".@RepGoodlatte: ""I still think we need a special counsel into what my committee and Chairman Gowdy's committee are looking into with regard to how the @FBI handled investigations into @HillaryClinton and into both campaigns."" #SundayFutures @MariaBartiromo ",Mon Apr 16 00:15:15 +0000 2018,985672934378307585,1367531,71,177,17700748,0.4019,0.07200000000000001,0.9279999999999999,0.0,2,Apr 16
2,@FoxNews,FoxNews,".@JudgeJeanine: ""Why would you believe a guy with a history replete with lies, dishonesty and contradictions? We'll find out Tuesday when disgraced former FBI Director James @Comey's book, 'A Higher Loyalty: Truth, Lies and Leadership' hits the stands."" ",Mon Apr 16 00:07:04 +0000 2018,985670876539564033,1367531,100,299,17700748,-0.6249,0.11900000000000001,0.657,0.22399999999999998,3,Apr 16
3,@FoxNews,FoxNews,Conservative Activist Disinvited from Student-Organized Event at Stoneman Douglas HS ,Sun Apr 15 23:54:42 +0000 2018,985667763258757123,1367531,172,268,17700748,0.0,0.0,1.0,0.0,4,Apr 15
4,@FoxNews,FoxNews,"'They Don't Want Black Folks Voting': @JoeBiden Rips GOP on Voter ID, Trump's 'Lie' on 'Fraud' ",Sun Apr 15 23:48:49 +0000 2018,985666283436953601,1367531,73,182,17700748,-0.0572,0.0,0.929,0.071,5,Apr 15
5,@FoxNews,FoxNews,Florida woman ordered to share custody of her dog with neighbor in lawsuit ,Sun Apr 15 23:33:08 +0000 2018,985662335405690880,1367531,54,111,17700748,0.0772,0.13699999999999998,0.745,0.11800000000000001,6,Apr 15
6,@FoxNews,FoxNews,BREAKING: 'Full Metal Jacket' actor R. Lee Ermey dies at age 74 ,Sun Apr 15 23:19:47 +0000 2018,985658978427424768,1367531,1416,2426,17700748,0.0,0.0,1.0,0.0,7,Apr 15
7,@FoxNews,FoxNews,".@nikkihaley: ""@POTUS has made it very clear that when it comes to weapons of mass destruction, we have no tolerance for it."" #FoxNewsSunday ",Sun Apr 15 23:09:38 +0000 2018,985656423072911361,1367531,257,1022,17700748,-0.5729,0.155,0.578,0.268,8,Apr 15
8,@FoxNews,FoxNews,"Deadly Syria attack shines spotlight on chemical weapons linked to Assad regime, ISIS-inspired terror groups ",Sun Apr 15 23:05:06 +0000 2018,985655280842301440,1367531,84,199,17700748,-0.8555,0.0,0.58,0.42,9,Apr 15
9,@FoxNews,FoxNews,"Flowers, tributes left for burglar stabbed to death by retiree protecting his home ",Sun Apr 15 22:59:07 +0000 2018,985653776534122498,1367531,101,171,17700748,-0.7783,0.0,0.638,0.36200000000000004,10,Apr 15
10,@FoxNews,FoxNews,"Moments ago, @PressSec released a statement that President @realDonaldTrump and @FLOTUS' prayers are with the Bush family. ",Sun Apr 15 22:40:13 +0000 2018,985649019392229376,1367531,361,1612,17700748,0.0,0.0,1.0,0.0,11,Apr 15
11,@FoxNews,FoxNews,Black bear cubs rescued by @VSPPIO trooper after mother killed in crash ,Sun Apr 15 22:35:00 +0000 2018,985647707359535104,1367531,220,952,17700748,-0.6597,0.133,0.524,0.34299999999999997,12,Apr 15
12,@FoxNews,FoxNews,"RT @FoxNewsResearch: U.S. Population Projections: 
—2030—
•All baby boomers will be over age 65
—2035—
•78.0 million people will be 65 and…",Sun Apr 15 22:33:10 +0000 2018,985647246405505025,1367531,45,0,17700748,0.0,0.0,1.0,0.0,13,Apr 15
13,@FoxNews,FoxNews,Philadelphia @Eagles release CB Daryl Worley after arrest ,Sun Apr 15 22:24:59 +0000 2018,985645184661835776,1367531,49,179,17700748,-0.34,0.0,0.769,0.231,14,Apr 15
14,@FoxNews,FoxNews,OPINION: Assad must go -- US should press Russia to replace Syrian dictator ,Sun Apr 15 22:21:01 +0000 2018,985644187382157312,1367531,137,547,17700748,0.0,0.0,1.0,0.0,15,Apr 15
15,@FoxNews,FoxNews,Allied forces near Syria. #FoxReport ,Sun Apr 15 22:13:47 +0000 2018,985642367293296646,1367531,121,298,17700748,0.0,0.0,1.0,0.0,16,Apr 15
16,@FoxNews,FoxNews,".@nikkihaley warns Assad: Trump 'watching,' US work in Syria 'not done' ",Sun Apr 15 22:10:05 +0000 2018,985641438334586885,1367531,157,593,17700748,-0.1027,0.0,0.887,0.113,17,Apr 15
17,@FoxNews,FoxNews,.@TheRock's 'Rampage' narrowly beats John Krasinski's 'A Quiet Place' at the box office ,Sun Apr 15 22:02:08 +0000 2018,985639435311157248,1367531,34,127,17700748,0.0,0.0,1.0,0.0,18,Apr 15
18,@FoxNews,FoxNews,".@charliekirk11: ""There's a lot of division happening in this country. More speech is going to solve that, not dis-invitation of speakers or the blocking of different ideas."" ",Sun Apr 15 21:58:00 +0000 2018,985638395144753152,1367531,132,446,17700748,-0.2023,0.059000000000000004,0.855,0.086,19,Apr 15
19,@FoxNews,FoxNews,".@RepRatcliffe: ""The firing of Andrew McCabe was justified. Not once, not twice, not three times, but four times the number two person at the premier law enforcement agency in the world - the @FBI - lied, and was less than truthful - sometimes under oath."" ",Sun Apr 15 21:56:00 +0000 2018,985637892763652096,1367531,244,688,17700748,0.198,0.138,0.76,0.102,20,Apr 15
20,@FoxNews,FoxNews,".@MariaBartiromo: ""Why did Jim @Comey take so many memos about @POTUS, then President-elect or candidate Trump, and no memos about @HillaryClinton?"" ",Sun Apr 15 21:49:26 +0000 2018,985636239159283712,1367531,745,2039,17700748,-0.29600000000000004,0.0,0.905,0.095,21,Apr 15
21,@FoxNews,FoxNews,".@dangainor: Trump strikes Syria, media fire back, and other examples of their war against the president ",Sun Apr 15 21:47:07 +0000 2018,985635656557891586,1367531,108,306,17700748,-0.8316,0.0,0.614,0.386,22,Apr 15
22,@FoxNews,FoxNews,"Officers in @Starbucks incident 'did absolutely nothing wrong,' Philadelphia police chief says ",Sun Apr 15 21:42:43 +0000 2018,985634551673294848,1367531,76,268,17700748,0.0,0.0,1.0,0.0,23,Apr 15
23,@FoxNews,FoxNews,.@GOP offered their prayers for former First Lady Barbara Bush. ,Sun Apr 15 21:35:24 +0000 2018,985632709786701831,1367531,90,517,17700748,0.0,0.0,1.0,0.0,24,Apr 15
24,@FoxNews,FoxNews,"Earlier, James @Comey tweeted about his book, which he says features three presidents. ",Sun Apr 15 21:30:00 +0000 2018,985631349645209601,1367531,38,94,17700748,0.0,0.0,1.0,0.0,25,Apr 15
25,@FoxNews,FoxNews,Montana daycare worker built 'drug den' inside cabinet to smoke meth on the job ,Sun Apr 15 21:26:38 +0000 2018,985630501116502017,1367531,116,161,17700748,0.0,0.0,1.0,0.0,26,Apr 15
26,@FoxNews,FoxNews,Carrie Underwood shares first close-up photo of face ahead of ACM Awards ,Sun Apr 15 21:20:15 +0000 2018,985628896195416069,1367531,29,201,17700748,0.6369,0.321,0.679,0.0,27,Apr 15
27,@FoxNews,FoxNews,"Syrian refugee Abdalaziz Alhamza: ""For me as a Syrian and many Syrians, we lost the trust of the U.S. under [@BarackObama's] administration because all that we got from the [Obama] administration...[were] only speeches and promises."" @WattersWorld ",Sun Apr 15 21:12:01 +0000 2018,985626824947453952,1367531,591,1545,17700748,0.25,0.081,0.862,0.057,28,Apr 15
