,News Account,News Text,News Created Date,News id,News Account id,Retweet Count,Like Count,Followers Count,News Compound,News Positive,News Neutral,News Negative,News Tweets Ago
0,@CNN,"The US has cracked down on one of China's biggest tech companies, banning it from buying components from American firms. ",Apr 17,986133664676433922,759251,29,38,40170838,0.0,0.0,1.0,0.0,1
1,@CNN,Why Trump's tabloid past may come back to haunt him | Analysis by @StCollinson ,Apr 17,986131151084539904,759251,41,126,40170838,-0.4019,0.0,0.838,0.162,2
2,@CNN,Europe is thinking about giving advanced robots rights and responsibilities. Many experts say that's a terrible idea. ,Apr 17,986129914020679680,759251,68,150,40170838,0.0772,0.196,0.667,0.138,3
3,@CNN,Here are 2018's most expensive cities for business travel ,Apr 17,986128660385026048,759251,56,130,40170838,0.0,0.0,1.0,0.0,4
4,@CNN,Here are the reasons why Trump and Abe need this week's summit at Mar-a-Lago to go well | @CNNOpinion by Jeffrey Hornung ,Apr 17,986125369064517632,759251,43,115,40170838,0.2732,0.087,0.913,0.0,5
5,@CNN,Jimmy Kimmel mocks 'my pal' Sean Hannity over Trump lawyer bombshell ,Apr 17,986124013725454336,759251,92,385,40170838,-0.4588,0.0,0.8,0.2,6
6,@CNN,The unbelievable story of Michael Cohen and Sean Hannity | Analysis by @CillizzaCNN ,Apr 17,986122359781363712,759251,67,156,40170838,0.2023,0.122,0.878,0.0,7
7,@CNN,"Actor Harry Anderson, known for playing Judge Harry Stone on the NBC sitcom ""Night Court,"" was found dead in his home in Asheville, North Carolina, on Monday, police say. ",Apr 17,986119707878154240,759251,80,190,40170838,-0.5423,0.053,0.821,0.126,8
8,@CNN,Scientists have accidentally developed a plastic-eating enzyme that may be used to combat one of the world's worst pollution problems. ,Apr 17,986117319180062720,759251,458,1181,40170838,-0.891,0.0,0.594,0.406,9
9,@CNN,"56,000 Legos. 11 months. 10 years old. ",Apr 17,986114803608506368,759251,319,1237,40170838,0.0,0.0,1.0,0.0,10
10,@CNN,RT @CNNTonight: “This is about how black people are treated in this country … this is an America issue” CNN’s @wkamaubell relates his own s…,Apr 17,986114449550528512,759251,388,0,40170838,0.0,0.0,1.0,0.0,11
11,@CNN,China's economy hit the ground running in 2018 ,Apr 17,986109001120276480,759251,32,73,40170838,0.0,0.0,1.0,0.0,12
12,@CNN,Kendrick Lamar now has a Pulitzer Prize to go with all his Grammy Awards ,Apr 17,986107256084291584,759251,218,901,40170838,0.743,0.326,0.674,0.0,13
13,@CNN,"Kendrick Lamar's Pulitzer is a thumb in the eye of President Trump, writes Clay Cane for @CNNOpinion ",Apr 17,986104997132808192,759251,218,832,40170838,0.0,0.0,1.0,0.0,14
14,@CNN,Tesla is temporarily stopping production of the Model 3 ,Apr 17,986103243322380288,759251,89,208,40170838,-0.1531,0.0,0.849,0.151,15
15,@CNN,"Judge rules to unseal 11 cases related to Starr's Clinton investigation, following CNN request ",Apr 17,986101457660280832,759251,86,208,40170838,0.0,0.0,1.0,0.0,16
16,@CNN,A suspected poison attack has killed 11 lions in Queen Elizabeth National Park in Uganda ,Apr 17,986099700041502720,759251,187,207,40170838,-0.9186,0.0,0.48,0.52,17
17,@CNN,Kenya's empty nets: How cheap Chinese fish imports have hooked buyers ,Apr 17,986097448396484610,759251,70,102,40170838,-0.2023,0.0,0.87,0.13,18
18,@CNN,Sacramento police release more footage in Stephon Clark shooting ,Apr 17,986095684867813376,759251,90,183,40170838,0.0,0.0,1.0,0.0,19
19,@CNN,Facebook tries to clarify how it collects data when you're not on Facebook ,Apr 17,986093917895569409,759251,91,161,40170838,0.0,0.0,1.0,0.0,20
20,@CNN,Puerto Rico's power outage is now the second-largest blackout on record ,Apr 17,986092165188210689,759251,333,374,40170838,0.0,0.0,1.0,0.0,21
21,@CNN,The only good news in the Starbucks story ,Apr 17,986089898796085249,759251,80,175,40170838,0.4404,0.244,0.756,0.0,22
