,News Account,News id,Reply Text,Reply Created Date,Reply Tweet id,Reply User id,Reply Compound,Reply Positive,Reply Neutral,Reply Negative,Reply Tweets Ago
0,@ABC,985674658530906112,@ABC What's this little switch for ?  BOOOM,Mon Apr 16 00:25:56 +0000 2018,985675625506652160,843319285720137728,0.0,0.0,1.0,0.0,1
1,@ABC,985674658530906112,"@ABC Yeah, I doubt it went down like this...but go back to sleep everyone. The gory details are much more interesting...",Mon Apr 16 00:25:44 +0000 2018,985675576131444736,23024891,0.296,0.194,0.702,0.103,2
2,@ABC,985674658530906112,@ABC Karma was waiting for him at the doe...,Mon Apr 16 00:25:28 +0000 2018,985675506501718016,34799566,0.0,0.0,1.0,0.0,3
3,@ABC,985674658530906112,@ABC  ,Mon Apr 16 00:25:17 +0000 2018,985675459894632450,25040215,0.0,0.0,1.0,0.0,4
4,@ABC,985674658530906112,"@ABC There is a good deal of oxygen used for breathing no longer going to waste, in the blink of an eye!👍",Mon Apr 16 00:25:09 +0000 2018,985675426239582209,830411154375720960,-0.3382,0.111,0.687,0.202,5
5,@ABC,985674658530906112,@ABC Didn't see the presidential tweet on this 🤔#'merica,Mon Apr 16 00:25:04 +0000 2018,985675404764680192,701094227929866240,0.0,0.0,1.0,0.0,6
6,@ABC,985674658530906112,@ABC I guess as long as they were meant for him to enjoy on his own the dumbass idiot and he was not going to use them elsewhere. Godspeed!,Mon Apr 16 00:25:02 +0000 2018,985675397307215873,727085845,-0.6114,0.09,0.706,0.203,7
7,@ABC,985674658530906112,"@ABC Sounds like a typical meth. Lab. They do explode. Oh well, another one bites the dust. Bright side,  he earned it. Maybe he will be a cocharaoch , yay.",Mon Apr 16 00:25:02 +0000 2018,985675396619235328,848617663383429121,0.872,0.322,0.678,0.0,8
8,@ABC,985674658530906112,"@ABC Our ""leaders"" today aren't the leaders our founders envisioned. Today's ""leaders"" want us to remain divided, fighting and easily controlled. Think for yourself. Really think. Try it.",Mon Apr 16 00:24:52 +0000 2018,985675357209710594,984622272618123265,0.0516,0.119,0.801,0.08,9
9,@ABC,985674658530906112,@ABC Bub bye,Mon Apr 16 00:24:19 +0000 2018,985675217904205824,902473944,0.0,0.0,1.0,0.0,10
10,@ABC,985674658530906112,@ABC  ,Mon Apr 16 00:24:10 +0000 2018,985675179018936320,1321779175,0.0,0.0,1.0,0.0,11
11,@ABC,985674658530906112,"@ABC ""...loaded with white supremacist literature...""

A true book burner until the very end.",Mon Apr 16 00:24:09 +0000 2018,985675175352975360,984513985541177347,0.5106,0.281,0.719,0.0,12
12,@ABC,985674658530906112,@ABC Good riddance,Mon Apr 16 00:24:08 +0000 2018,985675171058077696,948373753024491520,0.4404,0.592,0.408,0.0,13
13,@ABC,985674658530906112,@ABC Suuuurrrrrrreeeee he did,Mon Apr 16 00:24:02 +0000 2018,985675146240327680,965012851889922048,0.0,0.0,1.0,0.0,14
14,@ABC,985670511035379717,@ABC Stop all that monkeying around lol 😂,Mon Apr 16 00:09:31 +0000 2018,985671494100570112,420859259,0.1531,0.28,0.5,0.22,1
15,@ABC,985670511035379717,@ABC I'd rather run like hell too if I was captive in a biomedical research place.,Mon Apr 16 00:09:16 +0000 2018,985671429462024193,14600349,-0.4767,0.131,0.628,0.241,2
16,@ABC,985670511035379717,@ABC 'biomedical' doesn't that mean animal testing? Returning them doesn't seem so kindly then,Mon Apr 16 00:09:04 +0000 2018,985671378048311297,26178127,0.6269,0.24,0.76,0.0,3
17,@ABC,985670511035379717,@ABC Two of them are @GOP candidates for Senate.,Mon Apr 16 00:09:00 +0000 2018,985671364114870273,2410983415,0.0,0.0,1.0,0.0,4
18,@ABC,985670511035379717,@ABC Got to wonder what kind of biomedical research these baboons are there for.,Mon Apr 16 00:09:00 +0000 2018,985671362369929216,816899190739505152,0.0,0.0,1.0,0.0,5
19,@ABC,985670511035379717,@ABC  ,Mon Apr 16 00:08:58 +0000 2018,985671354815950848,175539767,0.0,0.0,1.0,0.0,6
20,@ABC,985670511035379717,@ABC  ,Mon Apr 16 00:08:44 +0000 2018,985671294304714752,932411490061099008,0.0,0.0,1.0,0.0,7
