,News Account,News id,Reply Text,Reply Created Date,Reply Tweet id,Reply User id,Reply Compound,Reply Positive,Reply Neutral,Reply Negative,Reply Tweets Ago
0,@CBSNews,985674387557961729,@CBSNews Allegiant pilot? ,Mon Apr 16 00:24:31 +0000 2018,985675267338264576,985399423797608449,0.0,0.0,1.0,0.0,1
1,@CBSNews,985674387557961729,@CBSNews This is the worst airline in the country.,Mon Apr 16 00:23:00 +0000 2018,985674885044277248,33183258,-0.6249,0.0,0.661,0.339,2
2,@CBSNews,985674387557961729,"@CBSNews Fake news cbs 
Fake news cbs

Nobody died!",Mon Apr 16 00:22:39 +0000 2018,985674798264127488,909037408150327296,-0.8777,0.0,0.373,0.627,3
3,@CBSNews,985674387557961729,@CBSNews Typical 60 seconds hit piece ... one sided,Mon Apr 16 00:22:07 +0000 2018,985674663891218432,345007121,0.0,0.0,1.0,0.0,4
4,@CBSNews,985674387557961729,@CBSNews Good.,Mon Apr 16 00:22:04 +0000 2018,985674651140370432,984513985541177347,0.4404,0.744,0.256,0.0,5
5,@CBSNews,985671617824030720,@CBSNews Unbelievable that we still know very little about this shooting and why this tragedy happened.,Mon Apr 16 00:12:35 +0000 2018,985672263293984773,962437747045752837,-0.6652,0.086,0.665,0.249,1
6,@CBSNews,985671617824030720,@CBSNews They're so brave,Mon Apr 16 00:12:07 +0000 2018,985672149301170176,785127441245298688,0.656,0.593,0.407,0.0,2
7,@CBSNews,985671617824030720,@CBSNews My mom always watched her show. I thought I was pretty good.,Mon Apr 16 00:11:52 +0000 2018,985672083442192389,973902672083419139,0.7269,0.404,0.596,0.0,3
8,@CBSNews,985671617824030720,@CBSNews Watching #ACMawards Great opening of the program. 💕,Mon Apr 16 00:11:09 +0000 2018,985671902944550914,26382985,0.6249,0.369,0.631,0.0,4
9,@CBSNews,985664319739310080,"@CBSNews Great job, Donny! #MissionAccomplished",Sun Apr 15 23:44:48 +0000 2018,985665272282415104,756914020418936832,0.6588,0.523,0.477,0.0,1
10,@CBSNews,985664319739310080,@CBSNews putin and assad enjoy killing civilians using chemical weapons. they are war criminals.,Sun Apr 15 23:44:44 +0000 2018,985665255119425536,815689542204346369,-0.9136,0.118,0.332,0.55,2
11,@CBSNews,985664319739310080,@CBSNews He is going to be less of a mischief maker where Israel is concerned. Watch and learn.,Sun Apr 15 23:44:17 +0000 2018,985665142032547840,25248650,-0.3008,0.0,0.878,0.122,3
12,@CBSNews,985664319739310080,@CBSNews Yet you show him from the waste up so we can’t see that he soiled his pants.,Sun Apr 15 23:44:10 +0000 2018,985665112408313857,376817510,-0.4215,0.0,0.859,0.141,4
13,@CBSNews,985664319739310080,@CBSNews it's just a matter of time.,Sun Apr 15 23:43:39 +0000 2018,985664984280641538,1681471422,0.0258,0.18,0.82,0.0,5
14,@CBSNews,985664319739310080,@CBSNews This evil must be removed. Find s way. Syrians. He is destroying your.   country,Sun Apr 15 23:43:28 +0000 2018,985664937837170689,955627607235743751,-0.8402,0.0,0.6,0.4,6
15,@CBSNews,985664319739310080,@CBSNews OPERATION DESERT STORMY:  MISSION IMPOSSIBLE – FALLOUT ,Sun Apr 15 23:43:17 +0000 2018,985664892798754817,874372982134759424,0.0,0.0,1.0,0.0,7
16,@CBSNews,985664319739310080,@CBSNews this confidence will not go unpunished,Sun Apr 15 23:43:15 +0000 2018,985664884351234048,118390230,0.5106,0.355,0.645,0.0,8
17,@CBSNews,985664319739310080,@CBSNews Could be worse...Moscow could be where the oil is.,Sun Apr 15 23:43:10 +0000 2018,985664863912345600,2384297173,0.0,0.0,1.0,0.0,9
18,@CBSNews,985664319739310080,@CBSNews Kill this war criminal!,Sun Apr 15 23:43:02 +0000 2018,985664828323774464,960622480116215808,-0.9327,0.0,0.133,0.867,10
19,@CBSNews,985664319739310080,@CBSNews Oh his day is coming!,Sun Apr 15 23:42:59 +0000 2018,985664814855864321,935901227811876864,0.0,0.0,1.0,0.0,11
20,@CBSNews,985664319739310080,@CBSNews Monster,Sun Apr 15 23:42:18 +0000 2018,985664645171154950,146596962,0.0,0.0,1.0,0.0,12
21,@CBSNews,985664319739310080,@CBSNews Someone needs to put a bullet in that maggots head,Sun Apr 15 23:42:02 +0000 2018,985664576447569920,1329160856,0.0,0.0,1.0,0.0,13
22,@CBSNews,985659394473058304,@CBSNews  ,Sun Apr 15 23:24:31 +0000 2018,985660169458663426,434638813,0.0,0.0,1.0,0.0,1
23,@CBSNews,985659394473058304,"@CBSNews It's Wheeler Walker Jr. Going to be there? If not, no thanks.",Sun Apr 15 23:24:01 +0000 2018,985660041071153155,262280677,-0.1326,0.123,0.719,0.157,2
24,@CBSNews,985659394473058304,@CBSNews Love ya Reba!,Sun Apr 15 23:23:20 +0000 2018,985659869884641280,305880483,0.6696,0.6,0.4,0.0,3
