,News Account,News id,Reply Text,Reply Created Date,Reply Tweet id,Reply User id,Reply Compound,Reply Positive,Reply Neutral,Reply Negative,Reply Tweets Ago
0,@FoxNews,985673747976937477,@FoxNews American People ,Mon Apr 16 00:22:15 +0000 2018,985674697206624261,2447430316,0.0,0.0,1.0,0.0,1
1,@FoxNews,985673747976937477,@FoxNews they are never going to move on to Trump's bigly problems with his idiot lawyer ,Mon Apr 16 00:22:10 +0000 2018,985674675115012096,305697207,-0.7184,0.0,0.714,0.286,2
2,@FoxNews,985673747976937477,@FoxNews  ,Mon Apr 16 00:22:08 +0000 2018,985674667452137473,985768548,0.0,0.0,1.0,0.0,3
3,@FoxNews,985673747976937477,"@FoxNews the tone, content and manipulative feel of this article does not help the conversation at all... both the left and right media outlets are an embarrassing disgrace to journalism. shame on this author",Mon Apr 16 00:21:58 +0000 2018,985674627362902016,776924940402581504,-0.8795,0.0,0.729,0.271,4
4,@FoxNews,985673747976937477,@FoxNews Do you ever stop sucking Trump's dick,Mon Apr 16 00:21:47 +0000 2018,985674579979980801,970532279759003649,-0.6705,0.0,0.522,0.478,5
5,@FoxNews,985673747976937477,"@FoxNews You can tell them, show them until your blue in the face. They will not agree with anything because they are idiots.",Mon Apr 16 00:21:23 +0000 2018,985674479585067008,940910671222501378,-0.2755,0.0,0.912,0.088,6
6,@FoxNews,985672934378307585,@FoxNews @RepGoodlatte @FBI @HillaryClinton @MariaBartiromo againyou investigated Hillary 4 times and so did Gowdy. GTFO russia boy,Mon Apr 16 00:19:04 +0000 2018,985673898116067329,1066855388,0.0,0.0,1.0,0.0,1
7,@FoxNews,985672934378307585,@FoxNews @RepGoodlatte @FBI @HillaryClinton @MariaBartiromo Yes we are laughing at your #stupity ,Mon Apr 16 00:18:57 +0000 2018,985673868122775552,7716692,0.7096,0.349,0.651,0.0,2
8,@FoxNews,985672934378307585,@FoxNews @RepGoodlatte @FBI @HillaryClinton @MariaBartiromo Waste more taxpayer money investigating Hillary.,Mon Apr 16 00:18:55 +0000 2018,985673857569906688,415983405,-0.4215,0.0,0.781,0.219,3
9,@FoxNews,985672934378307585,@FoxNews @RepGoodlatte @FBI @HillaryClinton @MariaBartiromo We just keep talking about the crimes but NO one ever does anything.  This is creating questions in the minds of Republicans.,Mon Apr 16 00:18:44 +0000 2018,985673813529686017,333415133,-0.2731,0.088,0.789,0.123,4
10,@FoxNews,985672934378307585,@FoxNews @RepGoodlatte @FBI @HillaryClinton @MariaBartiromo Goedy is all bark no bite..Has not accomplished shit since he was elected,Mon Apr 16 00:18:44 +0000 2018,985673812694876165,838236589,-0.1734,0.13,0.666,0.204,5
11,@FoxNews,985672934378307585,@FoxNews @RepGoodlatte @FBI @HillaryClinton @MariaBartiromo He's my VA06 rep and he won't even come to his district.  He's just trying to pay off his Trump donors before November.,Mon Apr 16 00:18:19 +0000 2018,985673705970954242,48822610,-0.1027,0.0,0.951,0.049,6
12,@FoxNews,985672934378307585,@FoxNews @RepGoodlatte @FBI @HillaryClinton @MariaBartiromo Can you guys actually do anything other than investigate each other? What do you do all day? Maybe no summer break will help.,Mon Apr 16 00:18:07 +0000 2018,985673658629836801,68825587,0.2168,0.098,0.832,0.07,7
13,@FoxNews,985670876539564033,"@FoxNews @JudgeJeanine @Comey ""Why would you believe a guy with a history replete with lies, dishonesty and contradictions""  -- Sure sounds like you're talking about President Pussygrabber, hon.",Mon Apr 16 00:10:59 +0000 2018,985671862293151744,4770959472,-0.0772,0.15,0.69,0.16,1
14,@FoxNews,985670876539564033,"@FoxNews @JudgeJeanine @Comey Freedom of speech. Trump tweets everyday. He fires people, insults people and talks about policies on twitter. TWITTER!! Do you honestly think that's PRESIDENTIAL? If you feel that it's ok for him to tweet then you can't complain about Comey's book. ",Mon Apr 16 00:10:57 +0000 2018,985671854349344768,951985371465707521,0.8517,0.22,0.729,0.051,2
15,@FoxNews,985670876539564033,@FoxNews @JudgeJeanine @Comey is it just me or does that description seem to fit most folks in politics...,Mon Apr 16 00:10:54 +0000 2018,985671839534985216,2312602244,0.3612,0.128,0.872,0.0,3
16,@FoxNews,985670876539564033,@FoxNews @JudgeJeanine @Comey Libs will buy one looking for little Trump tidbits. Lol pathetic,Mon Apr 16 00:10:52 +0000 2018,985671833281351680,746099989076545536,-0.2878,0.139,0.658,0.203,4
17,@FoxNews,985670876539564033,"@FoxNews @JudgeJeanine @Comey When I first start reading the tweet, I assumed she was talking about Trump.",Mon Apr 16 00:10:49 +0000 2018,985671820371222532,594808486,0.0,0.0,1.0,0.0,5
