,News Account,News id,Reply Text,Reply Created Date,Reply Tweet id,Reply User id,Reply Compound,Reply Positive,Reply Neutral,Reply Negative,Reply Tweets Ago
0,@NBCNews,985672883467890688,@NBCNews Comey interview tonight @  10pm on ABC. The Truth Will Set You Free!,Mon Apr 16 00:18:08 +0000 2018,985673659917504513,892395037,0.7088,0.349,0.651,0.0,1
1,@NBCNews,985672883467890688,@NBCNews How about a trial against the US government and @realDonaldTrump for war crimes and terrorism in Syria?,Mon Apr 16 00:16:36 +0000 2018,985673275643752450,930999466710138880,-0.8591,0.0,0.638,0.362,2
2,@NBCNews,985672883467890688,@NBCNews A life sentence for being a Christian in a so called allied country. Absurd.,Mon Apr 16 00:16:19 +0000 2018,985673202885152768,974272741728837632,0.0772,0.106,0.894,0.0,3
3,@NBCNews,985669165607538688,@NBCNews Anti birth control advocates weighing in on 3...2...1...,Mon Apr 16 00:01:30 +0000 2018,985669476657127424,978081277717905409,-0.3182,0.0,0.777,0.223,1
4,@NBCNews,985669165607538688,@NBCNews Why would you put a spring in your vagina?,Mon Apr 16 00:01:09 +0000 2018,985669389428109312,979107541350322176,0.0,0.0,1.0,0.0,2
5,@NBCNews,985664631594258432,"@NBCNews @MSNBC Or tune into ""Trump's Top Ten Slimeballs!"" on the Fox News Channel at 9 pm. If the President hates them so do we!",Sun Apr 15 23:46:12 +0000 2018,985665625006772224,838674816,-0.3987,0.066,0.806,0.128,1
6,@NBCNews,985664631594258432,"@NBCNews @MSNBC Comy is a disgrace to himself, his family and his country.  He should be hanged.",Sun Apr 15 23:45:40 +0000 2018,985665489618853894,879029775469334528,-0.4939,0.0,0.824,0.176,2
7,@NBCNews,985664631594258432,@NBCNews @MSNBC Big fat old nothing burger,Sun Apr 15 23:45:37 +0000 2018,985665480458293248,984822476063391746,0.0,0.0,1.0,0.0,3
8,@NBCNews,985664631594258432,"@NBCNews @MSNBC Comey is an idiot.
Trump fired him.
Hillary would have fired him.
Barack should have fired him.",Sun Apr 15 23:45:20 +0000 2018,985665409209786369,15636624,-0.9337,0.0,0.515,0.485,4
9,@NBCNews,985664631594258432,"@NBCNews @MSNBC Blatant, I’ll turn the first page ok?",Sun Apr 15 23:45:20 +0000 2018,985665407141867520,2604488660,0.296,0.216,0.784,0.0,5
10,@NBCNews,985664631594258432,@NBCNews @MSNBC  ,Sun Apr 15 23:44:56 +0000 2018,985665308542324736,44502794,0.0,0.0,1.0,0.0,6
